Category (Col. 1),State/UT (Col. 2),Cases Pending Trial from the Previous Year (Col. 3),Cases Sent for Trial during the year (Col. 4),Total Cases for Trial (Col. 5) = (Col.3+Col.4),Cases Abated by Court (Col. 6),Cases Withdrawn From Prosecution (Col. 7),Cases Compounded or Compromised (Col. 8),Cases Disposed off by Plea Bargaining (Col. 9),Cases Quashed (Col. 10),Cases Disposed off Without Trial (Col. 11) = (Col.6+Col.7+Col.8+Col.9+Col.10),Cases Stayed or Sent to Record Room (Col. 12),Cases Convicted Out of Cases from Previous Year (Col. 13),Cases Convicted Out of Cases during the Year (Col. 14),Cases Convicted (Col. 15) = (Col.13+Col.14),Cases Discharged (Col. 16),Cases Acquitted (Col. 17),Cases in which Trials were Completed (Col. 18) = (Col.15+Col.16+ Col.17),Cases Disposed off by Courts (Col. 19) = (Col.11+Col.18),Cases Pending Trial at End of the Year (Col. 20) = (Col.5 - Col.19),Conviction Rate (Col. 21) = (Col.15/Col.18) *100,Pendency Percentage (Col. 22) = (Col.20/Col.5) *100
State,Meghalaya,2362,586,2948,3,0,0,0,0,3,0,395,10,405,85,217,707,710,2238,57.3,75.9
State,Mizoram,580,162,742,0,0,0,0,0,0,0,69,29,98,3,10,111,111,631,88.3,85
State,Nagaland,151,36,187,0,0,0,0,0,0,0,2,1,3,0,3,6,6,181,50,96.8
State,Odisha,100649,17675,118324,0,0,0,0,0,0,0,415,0,415,0,3754,4169,4169,114155,10,96.5
State,Punjab,7582,3743,11325,0,0,3,0,99,102,4,549,35,584,83,1863,2530,2632,8693,23.1,76.8
State,Rajasthan,75882,21818,97700,22,14,778,618,44,1476,2,5099,526,5625,2053,4686,12364,13840,83860,45.5,85.8
State,Sikkim,206,110,316,0,0,0,0,0,0,0,13,3,16,3,20,39,39,277,41,87.7
State,Tamil Nadu,18932,4350,23282,27,0,26,0,73,126,1,544,85,629,28,2786,3443,3569,19713,18.3,84.7
State,Telangana,35894,16057,51951,72,0,5868,0,68,6008,157,510,91,601,0,5722,6323,12331,39620,9.5,76.3
State,Tripura,4106,864,4970,0,2,166,0,1,169,0,106,13,119,0,567,686,855,4115,17.3,82.8
State,Uttar Pradesh,155371,44182,199553,0,3,82,389,32,506,33,7248,811,8059,1195,5356,14610,15116,184437,55.2,92.4
State,Uttarakhand,6244,1758,8002,25,0,0,0,1,26,1,488,89,577,9,554,1140,1166,6836,50.6,85.4
State,West Bengal,234762,29092,263854,0,0,14,0,0,14,0,308,40,348,86,6177,6611,6625,257229,5.3,97.5
State,TOTAL STATE(S),1364614,286717,1651331,528,233,16132,1474,870,19237,518,25879,3602,29481,9042,88534,127057,146294,1505037,23.2,91.1
UT,A & N Islands,805,120,925,1,0,0,0,0,1,0,11,0,11,8,68,87,88,837,12.6,90.5
UT,Chandigarh,678,221,899,0,0,0,0,28,28,0,37,2,39,0,80,119,147,752,32.8,83.6
UT,D & N Haveli,95,56,151,0,0,0,0,0,0,0,0,0,0,0,45,45,45,106,0,70.2
UT,Daman & Diu,81,21,102,0,0,2,0,0,2,0,0,0,0,0,6,6,8,94,0,92.2
UT,Delhi,51369,9590,60959,24,41,185,30,668,948,79,1456,11,1467,231,1904,3602,4550,56409,40.7,92.5
UT,Lakshadweep,31,14,45,0,0,0,0,0,0,0,0,0,0,0,2,2,2,43,0,95.6
UT,Puducherry,425,107,532,0,0,0,0,0,0,0,7,2,9,0,0,9,9,523,100,98.3
UT,TOTAL UT(S),53484,10129,63613,25,41,187,30,696,979,79,1511,15,1526,239,2105,3870,4849,58764,39.4,92.4
TOTAL ALL INDIA,TOTAL ALL INDIA,1418098,296846,1714944,553,274,16319,1504,1566,20216,597,27390,3617,31007,9281,90639,130927,151143,1563801,23.7,91.2
